id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
96135,MEC,499,Research in Mechanical Engineering,,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,Min Yang Yang
96203,MEC,499,Research in Mechanical Engineering,,TUT,T97,0 to 3,APPT,1:00 AM,1:00 AM,JONGSEONG CHOI
96257,ARS,205,Foundations: Idea and Form,ARTS,LAB,L90,3,MF,9:00 AM,11:50 AM,Rachel Stuckey
96267,ARS,225,Introduction to Digital Art,"ARTS, TECH",LEC,90,3,F,12:30 PM,1:20 PM,Rachel Stuckey
96266,ARS,225,Introduction to Digital Art,"ARTS, TECH",LAB,L90,3,F,1:21 PM,3:20 PM,Rachel Stuckey
96097,ATM,102,Weather and Climate,SNW,LEC,90,3,F,12:30 PM,3:20 PM,Hoonyoung Park
95999,BIO,201,Organisms to Ecosystems,SNW,LEC,90,3,TUTH,9:00 AM,10:20 AM,Claire Louise Dell
96334,CAR,210,Career Planning,,SEM,S90,3,F,9:00 AM,11:50 AM,Sunghyun Lee
96095,CHI,111,Elementary Chinese I,,LEC,90,4,MW,5:00 PM,6:20 PM,Mengyang Jia
96094,CHI,111,Elementary Chinese I,,REC,R90,4,M,6:30 PM,7:25 PM,Mengyang Jia
96119,CHI,111,Elementary Chinese I,,LEC,91,4,TUTH,3:30 PM,4:50 PM,Mengyang Jia
96120,CHI,111,Elementary Chinese I,,REC,R91,4,RETU,5:00 PM,5:55 PM,Mengyang Jia
96157,CHI,111,Elementary Chinese I,,LEC,92,4,TUTH,10:30 AM,11:50 AM,Mengyang Jia
96156,CHI,111,Elementary Chinese I,,REC,R92,4,TH,9:30 AM,10:25 AM,Mengyang Jia
96121,CHI,112,Elementary Chinese II,LANG,LEC,90,4,MW,9:00 AM,10:20 AM,Mengyang Jia
96122,CHI,112,Elementary Chinese II,LANG,REC,R90,4,M,10:30 AM,11:25 AM,Mengyang Jia
96033,ECO,108,Introduction to Economics,SBS,LEC,90,4,TUTH,5:00 PM,6:20 PM,Joung Hwa Choi
96034,ECO,108,Introduction to Economics,SBS,REC,R90,4,TH,3:30 PM,4:25 PM,Joung Hwa Choi
96201,ECO,108,Introduction to Economics,SBS,LEC,91,4,TU,9:30 AM,12:20 PM,Jong Seok Kim
96200,ECO,108,Introduction to Economics,SBS,REC,R91,4,TU,2:00 PM,2:55 PM,Jong Seok Kim
96192,ECO,475,Undergrad Teachng Practicum I,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,Joung Hwa Choi
96089,ESG,281,Engineering Introduction to the Solid State,,LEC,90,3,TUTH,9:00 AM,10:20 AM,Woong Moo Lee
96088,ESG,281,Engineering Introduction to the Solid State,,REC,R90,3,TU,12:30 PM,1:25 PM,Woong Moo Lee
96091,ESG,332,Materials Sci I: Struct & Prop,,LEC,90,3,TUTH,10:30 AM,11:50 AM,Oh Yang Kwon
96090,ESG,332,Materials Sci I: Struct & Prop,,REC,R90,3,TH,12:30 PM,1:25 PM,Oh Yang Kwon
96215,FLM,102,Introduction to Film Composition: How Movies Say What They Mean,HUM,LEC,90,3,F,12:30 PM,3:20 PM,Sun Park
96216,GEO,102,The Earth,SNW,LEC,90,3,F,12:30 PM,3:20 PM,Tae Yoon Park
96250,HIS,101,Ancient Mesopotamia to Early Modern Europe,"GLO, SBS",LEC,90,3,MW,9:00 AM,9:55 AM,Donald Bellomy
96249,HIS,101,Ancient Mesopotamia to Early Modern Europe,"GLO, SBS",REC,R90,3,W,10:00 AM,10:55 AM,Donald Bellomy
96149,HIS,103,American History to 1877,"SBS, USA",LEC,90,3,TUTH,3:30 PM,4:25 PM,Donald Bellomy
96148,HIS,103,American History to 1877,"SBS, USA",REC,R90,3,TH,12:30 PM,1:25 PM,Donald Bellomy
96252,KOR,111,Elementary Korean I,,LEC,90,4,TUTH,2:00 PM,3:20 PM,Hea Hur
96251,KOR,111,Elementary Korean I,,REC,R90,4,TU,3:30 PM,4:25 PM,Hea Hur
96131,KOR,112,Elementary Korean II,LANG,LEC,90,4,TUTH,5:00 PM,6:20 PM,Hea Hur
96132,KOR,112,Elementary Korean II,LANG,REC,R90,4,TH,4:00 PM,4:55 PM,Hea Hur
96044,KOR,220,Intermediate Heritage Korean,"GLO, HUM, LANG",LEC,90,3,M,9:00 AM,11:50 AM,Koksuk Seo
96073,MAP,103,Proficiency Algebra,,LEC,90,3,MW,10:30 AM,11:50 AM,Sang Hee Park
96075,MAT,122,Overview of Calculus with Appl,QPS,LEC,90,3,MW,10:30 AM,11:50 AM,Jaeyeong Lee
96074,MAT,122,Overview of Calculus with Appl,QPS,REC,R90,3,M,12:30 PM,1:25 PM,Jaeyeong Lee
96042,MAT,123,Precalculus,QPS,LEC,90,3,MW,5:00 PM,6:20 PM,Young-seon Lee
96043,MAT,123,Precalculus,QPS,REC,R90,3,F,12:30 PM,1:25 PM,Young-seon Lee
96145,MAT,200,"Logic, Language and Proof",STEM+,LEC,90,3,MW,2:00 PM,3:20 PM,Suil O
96098,MUS,105,Music Cultures of the World,ARTS,LEC,90,3,TU,9:30 AM,12:30 PM,Soojin Kim
96035,PHY,131,Classical Physics I,SNW,LEC,90,3,TUTH,10:30 AM,11:50 AM,MacKenzie Lenz
96036,PHY,131,Classical Physics I,SNW,REC,R90,3,W,9:30 AM,10:25 AM,MacKenzie Lenz
96031,PHY,132,Classical Physics II,SNW,LEC,90,3,TUTH,9:00 AM,10:20 AM,MacKenzie Lenz
96032,PHY,132,Classical Physics II,SNW,REC,R90,3,W,10:30 AM,11:25 AM,MacKenzie Lenz
96029,PHY,133,Classical Physics Laboratory I,,LAB,L90,1,F,9:00 AM,10:50 AM,MacKenzie Lenz
96030,PHY,133,Classical Physics Laboratory I,,LAB,L91,1,F,11:00 AM,12:50 PM,Donghun Lee
96312,PHY,133,Classical Physics Laboratory I,,LAB,L92,1,F,3:00 PM,4:50 PM,Donghun Lee
96028,PHY,134,Classical Physics Lab II,,LAB,L91,1,F,1:00 PM,2:50 PM,MacKenzie Lenz
96080,POL,101,World Politics,"GLO, SBS",LEC,90,3,W,9:00 AM,11:50 AM,Won Geun Choi
96027,POL,102,Intro to American Government,"SBS, USA",LEC,90,3,F,9:00 AM,11:50 AM,Jung-Min Hong
96151,SOC,247,Sociology of Gender,"DIV, SBS",LEC,90,3,F,3:00 PM,5:50 PM,Juhyun Woo
96141,SUS,206,Economics and Sustainability,SBS+,LEC,90,3,TUTH,12:30 PM,1:25 PM,Young June Kwon
96142,SUS,206,Economics and Sustainability,SBS+,REC,R90,3,RETH,2:00 PM,2:55 PM,Young June Kwon
96025,WAE,192,High Intermediate Writing,,LEC,90,3,MW,10:30 AM,11:50 AM,Hyun-ju Kim
96026,WAE,192,High Intermediate Writing,,LEC,91,3,MW,2:00 PM,3:20 PM,Hyun-ju Kim
96175,WAE,192,High Intermediate Writing,,LEC,92,3,MW,3:30 PM,4:50 PM,Hyun-ju Kim
96022,WAE,194,Advanced Writing Academic Eng,,LEC,90,3,MW,9:00 AM,10:20 AM,Lindsay Dennison
96023,WAE,194,Advanced Writing Academic Eng,,LEC,91,3,MW,10:30 AM,11:50 AM,Rachel Ewing
96024,WAE,194,Advanced Writing Academic Eng,,LEC,92,3,MW,2:00 PM,3:20 PM,Lindsay Dennison
96064,WAE,194,Advanced Writing Academic Eng,,LEC,93,3,MW,3:30 PM,4:50 PM,Lindsay Dennison
