id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
56221,MEC,262,Engineering Dynamics,,REC,R90,,RETH,3:30 PM,4:23 PM,Min Yang Yang
56001,MEC,300,Professional Engr. Conduct,,LEC,90,2,M,9:30 AM,11:20 AM,TBA
56003,MEC,305,Heat and Mass Transfer,,LEC,90,3,MW,3:30 PM,4:50 PM,Gun Woong Bahng
56002,MEC,305,Heat and Mass Transfer,,REC,R90,,RECW,5:00 PM,5:53 PM,Gun Woong Bahng
56005,MEC,317,Thermal-Fluids Lab,TECH,LEC,90,2,W,2:00 PM,2:53 PM,Changwoon Han
56004,MEC,317,Thermal-Fluids Lab,TECH,LAB,L90,,M,12:30 PM,3:20 PM,Changwoon Han
56224,MEC,363,Mechanics of Solids,,LEC,90,3,TUTH,2:00 PM,3:20 PM,JONGSEONG CHOI
56223,MEC,363,Mechanics of Solids,,REC,R90,,RETU,3:30 PM,4:23 PM,JONGSEONG CHOI
56006,MEC,410,Design of Machine Elmnt,,LEC,90,3,TUTH,12:30 PM,1:50 PM,Jong Park
56008,MEC,411,Control Syst Analysis & Design,,LEC,90,4,TUTH,10:30 AM,11:50 AM,Changwoon Han
56007,MEC,411,Control Syst Analysis & Design,,LAB,L90,,LABW,9:00 AM,11:50 AM,Changwoon Han
56009,MEC,440,Mechanical Engnrng Design I,,LEC,90,3,TUTH,3:30 PM,4:50 PM,Eugene Pak
56115,MEC,450,Mechatronics,,LEC,90,3,F,12:30 PM,3:20 PM,Seung Bok Choi
55954,MEC,499,Research in Mechanical Engnrng,,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,Hamid Hefazi
55955,MEC,499,Research in Mechanical Engnrng,,TUT,T91,0 to 3,APPT,1:00 AM,1:00 AM,Eugene Pak
55956,MEC,499,Research in Mechanical Engnrng,,TUT,T92,0 to 3,APPT,1:00 AM,1:00 AM,Gun Woong Bahng
55957,MEC,499,Research in Mechanical Engnrng,,TUT,T93,0 to 3,APPT,1:00 AM,1:00 AM,Bruce Jo
56010,MEC,499,Research in Mechanical Engnrng,,TUT,T94,0 to 3,APPT,1:00 AM,1:00 AM,Changwoon Han
56011,MEC,499,Research in Mechanical Engnrng,,TUT,T95,0 to 3,APPT,1:00 AM,1:00 AM,Min Yang Yang
56193,MEC,499,Research in Mechanical Engnrng,,TUT,T96,0 to 3,APPT,1:00 AM,1:00 AM,JONGSEONG CHOI
56338,MEC,502,Conduction and Radiation Heat Transfer,,LEC,90,3,M,12:30 PM,3:20 PM,Joon Sik Lee
56194,MEC,511,Mechanics of Perfect Fluids,,LEC,90,3,TUTH,3:30 PM,4:50 PM,Hamid Hefazi
56195,MEC,529,Intro Robotics,,LEC,90,3,MW,3:30 PM,4:50 PM,Bruce Jo
56196,MEC,539,Intro to Finite Element Meth,,LEC,90,3,MW,10:30 AM,11:50 AM,Seung Bok Choi
56136,MEC,550,Mechatronics,,LEC,90,3,F,12:30 PM,3:20 PM,Seung Bok Choi
55969,MEC,599,Research,,TUT,T90,1 to 12,APPT,1:00 AM,1:00 AM,Hamid Hefazi
55970,MEC,599,Research,,TUT,T91,1 to 12,APPT,1:00 AM,1:00 AM,Eugene Pak
55971,MEC,599,Research,,TUT,T92,1 to 12,APPT,1:00 AM,1:00 AM,Gun Woong Bahng
55972,MEC,599,Research,,TUT,T93,1 to 12,APPT,1:00 AM,1:00 AM,Bruce Jo
56012,MEC,599,Research,,TUT,T94,1 to 12,APPT,1:00 AM,1:00 AM,Changwoon Han
56013,MEC,599,Research,,TUT,T95,1 to 12,APPT,1:00 AM,1:00 AM,Min Yang Yang
